City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saint George,US,37.1041,-113.5841,55.94,26,0,3.0,clear sky
80,Quimper,FR,48.0,-4.1,50.56,93,20,9.22,few clouds
81,Bethel,US,41.3712,-73.414,41.54,59,20,11.5,few clouds
82,Karaton,ID,-6.3424,106.1045,74.53,93,100,4.27,overcast clouds
83,Tessalit,ML,20.1986,1.0114,69.96,17,22,9.69,few clouds
84,Hamilton,US,39.1834,-84.5333,31.08,72,100,9.22,overcast clouds
85,Naze,JP,28.3667,129.4833,68.92,84,50,6.4,scattered clouds
86,Maneadero,MX,31.7167,-116.5667,63.1,65,100,5.12,overcast clouds
87,Mandalgovi,MN,45.7625,106.2708,28.89,36,100,9.37,overcast clouds
88,Hobart,AU,-42.8794,147.3294,62.26,66,40,5.75,scattered clouds
89,Netivot,IL,31.4222,34.5886,63.45,66,3,5.57,clear sky
90,Kipushi,CD,-11.7667,27.2333,61.79,85,5,1.14,clear sky
91,Itaituba,BR,-4.2761,-55.9836,81.59,64,99,3.18,overcast clouds
92,Birnin Kebbi,NG,12.4539,4.1975,75.51,25,17,8.01,few clouds
93,Leningradskiy,RU,69.3833,178.4167,7.21,96,100,13.51,light snow
94,Quelimane,MZ,-17.8786,36.8883,72.7,82,0,2.66,clear sky
95,Semirom,IR,31.4167,51.5667,38.19,96,100,6.04,overcast clouds
96,Clearlake,US,38.9582,-122.6264,66.58,31,62,2.08,broken clouds
97,Zhigansk,RU,66.7697,123.3711,-9.56,98,100,10.49,overcast clouds
98,Busselton,AU,-33.65,115.3333,52.95,76,100,17.74,overcast clouds
99,Chokurdakh,RU,70.6333,147.9167,-11.0,96,99,5.95,overcast clouds
100,Albert Town,JM,18.2943,-77.5424,75.7,95,81,4.32,light rain
101,Lagoa,PT,39.05,-27.9833,60.58,56,9,9.46,clear sky
102,Corn Island,NI,12.1694,-83.0418,83.01,77,67,19.77,broken clouds
103,Kiama,AU,-34.6833,150.8667,67.37,58,4,11.43,clear sky
104,Faanui,PF,-16.4833,-151.75,79.36,73,62,4.09,light rain
105,Ponta Do Sol,PT,32.6667,-17.1,69.71,74,58,5.39,broken clouds
106,Hammerfest,NO,70.6634,23.6821,30.65,93,0,0.0,clear sky
107,Shubarshi,KZ,48.5872,57.1869,30.11,73,100,15.35,overcast clouds
